NAME,MAP,SENSOR,PROD,ALG,PERIOD,PERIOD_CODE,MATH,UNITS,MTIME_FILE,MTIME_SUBAREA,REGION,SUBAREA,N_SUBAREA,N,MEAN,VAR,SKEW
M_200405-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200405,M,STATS,oC,1568068382,1593555329,NES_EPU_NOESTUARIES,GB,10614,10600,8.296246229972480,0.9993385553770754,0.4813162957227089
M_200406-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200406,M,STATS,oC,1568069326,1593555329,NES_EPU_NOESTUARIES,MAB,19066,19053,18.32391705215431,8.039088624997973,-0.01495788281332589
M_200406-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200406,M,STATS,oC,1568069326,1593555329,NES_EPU_NOESTUARIES,GOM,11621,11618,11.17734262663765,2.474405786435870,-0.2365329031229451
M_200406-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200406,M,STATS,oC,1568069326,1593555329,NES_EPU_NOESTUARIES,SS,5621,5593,8.464893091860983,0.7991342185555795,0.5261519059995995
M_200406-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200406,M,STATS,oC,1568069326,1593555329,NES_EPU_NOESTUARIES,GB,10614,10600,11.29041973509879,1.872494997824760,0.5562702866903982
M_200407-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200407,M,STATS,oC,1568070241,1593555329,NES_EPU_NOESTUARIES,MAB,19066,19053,22.81744256047372,4.980991364812636,-0.1237484650326521
M_200407-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200407,M,STATS,oC,1568070241,1593555329,NES_EPU_NOESTUARIES,GOM,11621,11618,15.68550565825988,2.536485929094059,-0.6655510909771566
M_200407-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200407,M,STATS,oC,1568070241,1593555329,NES_EPU_NOESTUARIES,SS,5621,5593,12.49889104353088,2.414296738790013,0.3505356936016625
M_200407-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200407,M,STATS,oC,1568070241,1593555329,NES_EPU_NOESTUARIES,GB,10614,10600,16.15914697233236,2.756599592564495,0.5463895389416303
M_200408-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200408,M,STATS,oC,1568071151,1593555329,NES_EPU_NOESTUARIES,MAB,19066,19053,22.93441301154720,2.135011000307764,-0.4368932743559625
